City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Haines Junction,CA,60.7522,-137.5108,31.95,55,100,0.0,overcast clouds
1,Descalvado,BR,-21.9039,-47.6194,65.28,91,97,8.14,overcast clouds
2,Namatanai,PG,-3.6667,152.4333,86.45,62,49,6.55,scattered clouds
3,Dikson,RU,73.5069,80.5464,27.84,94,100,25.88,light snow
4,Lebu,CL,-37.6167,-73.65,52.12,87,0,16.64,clear sky
5,Port Lincoln,AU,-34.7333,135.8667,62.01,67,0,19.57,clear sky
6,Flin Flon,CA,54.7682,-101.865,37.63,71,100,15.52,overcast clouds
7,Gamba,GA,-2.65,10.0,75.25,86,100,7.52,overcast clouds
8,East London,ZA,-33.0153,27.9116,57.22,70,53,5.61,broken clouds
9,Honningsvag,NO,70.9821,25.9704,34.95,61,100,21.47,light rain
10,Atuona,PF,-9.8,-139.0333,77.14,79,8,18.39,light rain
11,Mataura,NZ,-46.1927,168.8643,51.35,49,100,9.06,overcast clouds
12,Bredasdorp,ZA,-34.5322,20.0403,50.29,82,0,3.47,clear sky
13,Senador Guiomard,BR,-10.1522,-67.7392,76.75,67,5,2.46,clear sky
14,Hilo,US,19.7297,-155.09,80.33,76,90,5.75,overcast clouds
15,Kununurra,AU,-15.7667,128.7333,91.38,46,2,6.91,clear sky
16,Geraldton,AU,-28.7667,114.6,63.01,94,90,19.57,overcast clouds
17,Mbuyapey,PY,-26.2,-56.75,58.62,76,0,3.89,clear sky
18,Mount Gambier,AU,-37.8333,140.7667,57.11,58,75,9.22,broken clouds
19,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,20.71,scattered clouds
20,Bubaque,GW,11.2833,-15.8333,82.85,73,48,5.46,light rain
21,Yulara,AU,-25.2406,130.9889,91.24,14,38,4.61,scattered clouds
22,Port Elizabeth,ZA,-33.918,25.5701,50.29,81,0,4.61,clear sky
23,Nikolskoye,RU,59.7035,30.7861,39.09,80,99,8.12,overcast clouds
24,Bozhou,CN,33.8772,115.7703,58.24,59,100,8.99,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,53.65,47,99,1.01,overcast clouds
26,Kamaishi,JP,39.2667,141.8833,52.75,64,100,10.47,overcast clouds
27,Arraial Do Cabo,BR,-22.9661,-42.0278,69.01,90,100,13.13,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,55.17,73,0,8.19,clear sky
29,Cape Town,ZA,-33.9258,18.4232,58.1,60,0,4.0,clear sky
30,Puri,IN,19.8,85.85,82.38,84,100,13.53,overcast clouds
31,Yatou,CN,37.15,122.3833,52.68,52,4,22.08,clear sky
32,Ushuaia,AR,-54.8,-68.3,44.26,76,40,23.02,scattered clouds
33,Kapaa,US,22.0752,-159.319,82.38,73,20,5.01,few clouds
34,Norman Wells,CA,65.282,-126.8329,26.64,80,75,9.22,broken clouds
35,Albany,US,42.6001,-73.9662,46.35,81,16,1.01,few clouds
36,Qandala,SO,11.472,49.8728,82.33,52,90,0.96,overcast clouds
37,Valdivia,CL,-39.8142,-73.2459,52.7,87,18,2.71,few clouds
38,Lavrentiya,RU,65.5833,-171.0,28.35,74,100,15.26,overcast clouds
39,Fairbanks,US,64.8378,-147.7164,37.4,57,1,0.0,clear sky
40,Barrow,US,71.2906,-156.7887,19.42,68,1,5.75,clear sky
41,Vaini,TO,-21.2,-175.2,80.76,74,20,11.5,few clouds
42,Avarua,CK,-21.2078,-159.775,77.05,69,75,8.05,broken clouds
43,Mahebourg,MU,-20.4081,57.7,73.26,83,40,11.5,scattered clouds
44,Muscatine,US,41.4667,-91.1335,65.26,61,1,0.0,haze
45,Magdagachi,RU,53.45,125.8,28.6,50,100,5.3,overcast clouds
46,Georgetown,MY,5.4112,100.3354,78.75,91,40,3.0,scattered clouds
47,Jamestown,US,42.097,-79.2353,54.99,70,1,4.0,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,68.72,73,10,18.14,clear sky
49,Tres Picos,MX,15.8667,-93.5333,79.84,80,100,5.3,overcast clouds
50,Hermanus,ZA,-34.4187,19.2345,54.9,77,0,11.16,clear sky
51,Busselton,AU,-33.65,115.3333,60.04,92,100,24.63,overcast clouds
52,Bonthe,SL,7.5264,-12.505,78.01,85,59,4.25,light rain
53,Hualmay,PE,-11.0964,-77.6139,63.09,84,100,5.95,overcast clouds
54,Luderitz,NA,-26.6481,15.1594,70.05,25,11,11.99,few clouds
55,Coquimbo,CL,-29.9533,-71.3436,55.13,87,75,8.05,broken clouds
56,Codrington,AU,-38.2667,141.9667,55.87,58,41,13.51,scattered clouds
57,Thompson,CA,55.7435,-97.8558,41.16,81,90,12.66,overcast clouds
58,Rikitea,PF,-23.1203,-134.9692,75.29,73,3,20.27,clear sky
59,Blairgowrie,GB,56.5916,-3.3405,58.12,96,100,1.99,overcast clouds
60,Sredniy Ikorets,RU,51.0675,39.7584,44.51,79,100,7.2,overcast clouds
61,Tshikapa,CD,-6.4167,20.8,70.72,90,98,1.05,overcast clouds
62,Isangel,VU,-19.55,169.2667,82.51,78,75,5.75,broken clouds
63,Hasaki,JP,35.7333,140.8333,57.42,79,100,10.6,overcast clouds
64,Matara,LK,5.9485,80.5353,78.15,87,100,9.1,overcast clouds
