City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okha,RU,2021-10-18 15:03:43,53.5739,142.9478,25.83,80,79,17.45
1,Yeppoon,AU,2021-10-18 15:03:43,-23.1333,150.7333,67.78,92,36,2.89
2,Luderitz,NA,2021-10-18 14:58:04,-26.6481,15.1594,75.72,33,59,24.07
3,Tasiilaq,GL,2021-10-18 14:56:10,65.6145,-37.6368,25.93,49,83,4.59
4,Kalawit,PH,2021-10-18 15:03:44,8.0667,122.5167,80.1,87,72,2.35
5,Ushuaia,AR,2021-10-18 14:56:08,-54.8,-68.3,51.42,61,40,28.77
6,Ribeira Grande,PT,2021-10-18 14:56:20,38.5167,-28.7,72.0,68,40,20.71
7,Kabin Buri,TH,2021-10-18 15:03:44,13.9511,101.7177,72.19,91,87,3.78
8,Mahebourg,MU,2021-10-18 14:56:12,-20.4081,57.7,75.49,73,75,13.8
9,Kristiinankaupunki,FI,2021-10-18 15:03:45,62.2743,21.376,40.23,66,83,13.6
10,Bredasdorp,ZA,2021-10-18 14:56:54,-34.5322,20.0403,66.27,46,8,10.33
11,Husavik,IS,2021-10-18 14:57:45,66.0449,-17.3389,37.31,98,100,3.85
12,Tonneins,FR,2021-10-18 15:03:45,44.3921,0.3124,73.81,67,98,5.95
13,Dalvik,IS,2021-10-18 15:03:46,65.9702,-18.5286,36.34,93,100,2.89
14,Vila Franca Do Campo,PT,2021-10-18 14:57:40,37.7167,-25.4333,72.01,83,82,12.53
15,Ayaviri,PE,2021-10-18 15:03:46,-14.8864,-70.5889,58.62,18,62,1.97
16,Rikitea,PF,2021-10-18 14:56:13,-23.1203,-134.9692,75.0,70,0,19.1
17,Buala,SB,2021-10-18 15:01:36,-8.145,159.5921,80.01,82,22,4.18
18,Salalah,OM,2021-10-18 15:00:23,17.0151,54.0924,78.39,76,37,1.99
19,Codrington,AU,2021-10-18 15:02:08,-38.2667,141.9667,47.86,86,7,6.22
20,Alofi,NU,2021-10-18 14:58:20,-19.0595,-169.9187,73.29,94,75,12.66
21,Souillac,MU,2021-10-18 14:58:59,-20.5167,57.5167,75.58,73,75,13.8
22,Atherton,GB,2021-10-18 15:03:47,53.5237,-2.4935,62.11,95,100,4.0
23,Cape Town,ZA,2021-10-18 14:53:19,-33.9258,18.4232,66.88,44,0,5.01
24,Lamar,US,2021-10-18 15:03:48,33.6668,-95.5836,64.53,61,1,4.61
25,Barrow,US,2021-10-18 14:56:17,71.2906,-156.7887,19.42,63,75,4.61
26,Dikson,RU,2021-10-18 14:57:05,73.5069,80.5464,31.5,99,100,9.44
27,Hobart,AU,2021-10-18 14:54:45,-42.8794,147.3294,48.06,89,90,3.0
28,Carnarvon,AU,2021-10-18 14:56:57,-24.8667,113.6333,71.67,73,40,21.85
29,Atuona,PF,2021-10-18 14:56:23,-9.8,-139.0333,76.87,78,64,18.43
30,Xining,CN,2021-10-18 15:00:13,36.6167,101.7667,44.6,43,100,4.99
31,Albany,US,2021-10-18 14:56:36,42.6001,-73.9662,52.18,77,87,10.0
32,Arroio Grande,BR,2021-10-18 15:03:49,-32.2375,-53.0869,68.02,48,0,4.92
33,Dzilam Gonzalez,MX,2021-10-18 15:03:50,21.2833,-88.9333,81.41,74,100,3.38
34,Hermanus,ZA,2021-10-18 14:54:13,-34.4187,19.2345,66.79,57,34,13.71
35,Hithadhoo,MV,2021-10-18 14:57:01,-0.6,73.0833,82.44,72,100,7.56
36,Puerto Ayora,EC,2021-10-18 14:56:23,-0.7393,-90.3518,71.56,83,99,8.84
37,Matadi,CD,2021-10-18 15:03:50,-5.8167,13.45,84.11,60,100,7.9
38,Port Alfred,ZA,2021-10-18 14:54:13,-33.5906,26.891,62.85,52,15,11.05
39,Riberalta,BO,2021-10-18 15:03:51,-10.9833,-66.1,97.52,34,39,1.36
40,Butaritari,KI,2021-10-18 14:56:53,3.0707,172.7902,81.14,71,26,9.31
41,Komsomolskiy,UZ,2021-10-18 14:57:39,40.4272,71.7189,57.92,41,42,4.61
42,Hilo,US,2021-10-18 14:51:35,19.7297,-155.09,71.33,88,90,4.61
43,Port Elizabeth,ZA,2021-10-18 14:57:16,-33.918,25.5701,65.1,63,20,9.22
44,Lompoc,US,2021-10-18 14:58:34,34.6391,-120.4579,57.38,82,75,14.0
45,Bluff,NZ,2021-10-18 14:56:51,-46.6,168.3333,52.14,78,97,23.78
46,Puyo,EC,2021-10-18 15:03:52,-1.4667,-77.9833,80.47,51,100,3.65
47,Hambantota,LK,2021-10-18 14:59:03,6.1241,81.1185,82.74,78,20,12.66
48,Saskylakh,RU,2021-10-18 14:56:42,71.9167,114.0833,27.79,97,100,4.83
49,Sechura,PE,2021-10-18 15:03:53,-5.5569,-80.8222,71.96,66,92,9.22
